WQ.ID,WQ.lat,WQ.lon,S.ID,S.lat,S.lon,region,distance,start,end,duration,BFI,PMI,Q5/Q95,PDI
WQ958413-1,-33.74369,142.26865,S017676-WQ958413-1,-33.7433,142.2688,Oceania,45.67,07/07/1992,17/02/2009,16.63,0.86,2.84,,
WQ958487-1,-38.14,146.919,S008616-WQ958487-1,-37.9686,147.076,Oceania,23490.94,27/02/1997,13/04/2011,14.13,0.69,6.46,,
WQ958548-1,51.59886,12.56899,S010266-WQ958548-1,51.591,12.581,Europe,1207,07/01/2001,30/12/2007,6.98,,,,
WQ958724-1,-26.84,29.72361,S003627-WQ958724-1,-26.84108,29.72336,Africa,122.24,16/04/1985,18/06/1996,11.18,0.84,6.56,,
WQ958726-1,-25.77703,27.76111,S003907-WQ958726-1,-25.77703,27.76117,Africa,6.02,11/03/1980,25/04/2018,38.15,0.72,10.98,,
WQ958729-1,-25.66317,28.35115,S003923-WQ958729-1,-25.66361,28.35131,Africa,51.18,27/11/1979,12/03/2018,38.32,,,,
WQ958742-1,-33.13083,18.86278,S003654-WQ958742-1,-33.13083,18.86278,Africa,0.42,07/01/1986,16/06/2010,24.46,0.65,3.16,,
WQ958750-1,-30.67972,26.7125,S003606-WQ958750-1,-30.67833,26.71639,Africa,403.19,11/01/1982,22/02/1988,6.12,0.68,37.29,,
WQ958760-1,-26.98472,26.63228,S003586-WQ958760-1,-27.39972,26.62556,Africa,45989.52,23/04/1990,11/10/1999,9.48,0.52,4.78,,
WQ958761-1,-27.38972,26.46389,S003592-WQ958761-1,-27.38972,26.46389,Africa,0,21/10/1985,16/05/2018,32.59,0.71,3.90,,
WQ958762-1,-27.3,28.58694,S003616-WQ958762-1,-27.29833,28.49556,Africa,9048.46,15/03/1990,09/12/2004,14.75,0.73,7.59,,
WQ958764-1,-27.27389,28.49,S003615-WQ958764-1,-27.27167,28.49111,Africa,269.71,26/07/1983,02/11/1989,6.28,0.74,6.96,,
WQ958780-1,-25.36222,31.95667,S003948-WQ958780-1,-25.68225,31.78189,Africa,39567.2,29/12/1992,11/06/2001,8.46,,,,
WQ958783-1,-26.00639,29.25389,S003942-WQ958783-1,-26.00656,29.25403,Africa,23.1,22/01/1986,13/03/1991,5.14,,,,
WQ958783-2,-26.00639,29.25389,S003942-WQ958783-2,-26.00656,29.25403,Africa,23.1,17/04/1991,09/08/2005,14.33,,,,
WQ958805-1,-25.81048,27.90955,S003915-WQ958805-1,-25.81056,27.90983,Africa,29.12,11/03/1980,13/10/2003,23.61,,,,
WQ958806-1,-27.01011,26.69808,S003594-WQ958806-1,-27.01011,26.69808,Africa,0.35,14/05/1990,04/10/1999,9.4,0.74,3.10,,
WQ959048-1,49.91778,18.32472,S009409-WQ959048-1,49.9212,18.3281,Europe,451.37,02/11/1992,15/10/2003,10.96,,,,
WQ959074-1,51.85,6.10167,S003484-WQ959074-1,51.85,6.10167,Europe,0,02/01/1979,20/12/1995,16.98,0.86,1.92,,
WQ961715-1,49.02,-117.6,S007798-WQ961715-1,49.17778,-117.71639,North America,19496.76,05/01/2000,23/09/2019,19.73,,,,
WQ963259-1,51.20143,-1.36669,S018450-WQ963259-1,51.15248,-1.45092,Europe,8022.21,15/07/2008,26/09/2023,15.21,,,,
