date,value
2007-01-11,0.02
2007-01-16,0.031
2007-01-25,0.02
2007-01-30,0.02
2007-02-07,0.026
2007-02-14,0.099
2007-02-19,0.028
2007-03-01,0.044
2007-03-05,0.041
2007-03-15,0.02
2007-03-19,0.02
2007-03-26,0.02
2007-04-02,0.02
2007-04-11,0.05
2007-04-19,0.02
2007-04-24,0.068
2007-05-02,0.022
2007-05-10,0.036
2007-05-21,0.051
2007-05-29,0.031
2007-06-06,0.052
2007-06-13,0.076
2007-06-20,0.4655
2007-06-25,0.083
2007-06-29,0.031
2007-07-01,0.069625
2007-07-03,0.062
2007-07-05,0.02
2007-07-10,0.02
2007-07-17,0.170222222222222
2007-07-20,0.054
2007-07-26,0.292111111111111
2007-08-08,0.0457
2007-08-15,0.300111111111111
2007-08-23,0.0386
2007-08-29,0.0481
2007-09-04,0.0401
2007-09-13,0.0696
2007-09-20,0.221
2007-09-24,0.369625
2007-09-25,0.111
2007-10-03,0.0437
2007-10-11,0.02
2007-10-16,0.0571
2007-10-22,0.031
2007-10-28,0.69775
2007-11-02,0.0364
2007-11-08,0.0528
2007-11-12,0.0244
2007-11-17,0.604
2007-11-18,0.383428571428571
2007-11-20,0.0275
2007-11-29,0.0685
2007-11-30,0.150875
2007-12-04,0.0396
2007-12-05,0.278333333333333
2007-12-06,0.0710875
2007-12-08,0.147625
2007-12-12,0.029
2007-12-17,0.0272
2008-01-03,0.02
2008-01-10,0.1584625
2008-01-11,0.0321
2008-01-17,0.07485
2008-01-18,0.1152625
2008-01-23,0.13975
2008-01-24,0.1042
2008-01-26,0.130875
2008-01-29,0.0994875
2008-02-02,0.1568
2008-02-03,0.116666666666667
2008-02-22,0.319625
2008-02-25,0.187166666666667
2008-02-26,0.285
2008-02-29,0.1695
2008-03-08,0.258125
2008-03-11,0.0713
2008-03-12,0.078075
2008-07-11,0.0822
2008-07-16,0.0479
2008-07-21,0.0644
2008-07-29,0.159
2008-08-07,0.139
2008-08-11,0.116
2008-08-18,0.0568
2008-08-19,0.10295
2008-08-20,0.0606
2008-08-26,0.0843
2008-09-02,0.186
2008-09-03,0.382
2008-09-08,0.059
2008-09-16,0.13
2008-09-26,0.0413
2008-09-30,0.2465
2008-10-01,0.1522
2008-10-02,0.08954
2008-10-03,0.0896
2008-10-04,0.313
2008-10-05,0.158
2008-10-06,0.0436
2008-10-07,0.119
2008-10-08,0.0762166666666667
2008-10-10,0.174142857142857
2008-10-11,0.163
2008-10-14,0.135633333333333
2008-10-15,0.10395
2008-10-20,0.2445
2008-10-22,0.064
2008-10-23,0.203285714285714
2008-10-24,0.179
2008-10-31,0.0378
2008-11-05,0.0402
2008-11-08,0.2105
2008-11-10,0.0597
2008-11-18,0.0773
2008-11-28,0.061
2008-12-03,0.0278
2008-12-04,0.341
2008-12-05,0.182545454545455
2008-12-06,0.20675
2008-12-09,0.0456
2008-12-12,0.2615
2008-12-13,0.207666666666667
2008-12-16,0.038
2009-01-08,0.21
2009-01-13,0.0857555555555556
2009-01-15,0.0993833333333333
2009-01-16,0.07645
2009-01-20,0.0491
2009-01-21,0.05485
2009-01-22,0.0751666666666667
2009-01-29,0.0306
2009-02-04,0.0235
2009-02-12,0.105
2009-02-19,0.042
2009-02-24,0.0408
2009-03-03,0.0573
2009-03-09,0.070075
2009-03-12,0.0909
2009-03-17,0.0261
2009-03-23,0.0804
2009-03-26,0.181142857142857
2009-03-27,0.0932
