Date,Year,Month,Day,Q[m³ day⁻¹],P[g m⁻³],QₓP[g day⁻¹]
2003-12-03,2003,12,3,0.882,0.266,0.23461200000000001
2007-01-17,2007,1,17,3.82,0.431,1.64642
2007-01-29,2007,1,29,0.627,0.02,0.01254
2007-02-08,2007,2,8,0.26,0.029,0.007540000000000001
2007-02-15,2007,2,15,0.456,0.061,0.027816
2007-02-20,2007,2,20,0.583,0.107,0.06238099999999999
2007-03-01,2007,3,1,0.499,0.063,0.031437
2007-03-06,2007,3,6,0.615,0.206,0.12669
2007-03-15,2007,3,15,0.336,0.02,0.00672
2007-03-22,2007,3,22,0.365,0.028,0.01022
2007-03-28,2007,3,28,0.208,0.02,0.00416
2007-04-10,2007,4,10,0.137,0.02,0.0027400000000000002
2007-04-19,2007,4,19,0.1,0.02,0.002
2007-05-01,2007,5,1,0.103,0.02,0.0020599999999999998
2007-05-10,2007,5,10,0.141,0.025,0.003525
2007-05-17,2007,5,17,0.942,0.261,0.245862
2007-05-24,2007,5,24,0.215,0.021,0.004515
2007-05-30,2007,5,30,0.138,0.028,0.0038640000000000002
2007-06-04,2007,6,4,0.097,0.061,0.005917
2007-06-14,2007,6,14,0.917,0.161,0.14763700000000002
2007-06-18,2007,6,18,0.941,0.099,0.093159
2007-06-19,2007,6,19,0.606,0.40175,0.2434605
2007-06-25,2007,6,25,0.74,0.065,0.048100000000000004
2007-06-30,2007,6,30,1.93,0.29,0.5597
2007-07-01,2007,7,1,2.48,0.29825,0.73966
2007-07-02,2007,7,2,4.51,0.2155625,0.9721868749999999
2007-07-03,2007,7,3,2.66,0.239125,0.6360725
2007-07-04,2007,7,4,1.64,0.350166666666667,0.5742733333333339
2007-07-05,2007,7,5,3.34,0.1575,0.52605
2007-07-06,2007,7,6,3.2,0.513625,1.6436000000000002
2007-07-10,2007,7,10,0.492,0.057,0.028044
2007-07-13,2007,7,13,2.2,0.360142857142857,0.7923142857142854
2007-07-14,2007,7,14,0.97,0.344,0.33368
2007-07-19,2007,7,19,0.493,0.112,0.055216
2007-07-21,2007,7,21,1.49,0.568625,0.84725125
2007-07-22,2007,7,22,4.62,0.42375,1.9577250000000002
2007-07-24,2007,7,24,0.758,0.102,0.077316
2007-07-26,2007,7,26,4.27,0.774375,3.30658125
2007-08-02,2007,8,2,0.311,0.0464,0.0144304
2007-08-09,2007,8,9,0.223,0.0395,0.0088085
2007-08-12,2007,8,12,2.96,0.89675,2.65438
2007-08-14,2007,8,14,3.6,0.414857142857143,1.4934857142857147
2007-08-15,2007,8,15,2.01,0.445,0.89445
2007-08-17,2007,8,17,1.54,0.234,0.36036
2007-08-18,2007,8,18,2.75,0.243875,0.6706562500000001
2007-08-20,2007,8,20,0.799,0.108,0.08629200000000001
2007-08-30,2007,8,30,0.225,0.0468,0.010530000000000001
2007-09-05,2007,9,5,0.202,0.0395,0.007979
2007-09-14,2007,9,14,0.191,0.0324,0.0061884
2007-09-17,2007,9,17,0.15,0.0296,0.00444
2007-09-19,2007,9,19,1.34,0.552,0.7396800000000001
2007-09-21,2007,9,21,2.95,1.01014285714286,2.979921428571437
2007-09-24,2007,9,24,4.77,0.872125,4.16003625
2007-10-01,2007,10,1,0.262,0.0695,0.018209000000000003
2007-10-10,2007,10,10,1.28,0.138,0.17664000000000002
2007-10-11,2007,10,11,2.15,0.30675,0.6595125000000001
2007-10-12,2007,10,12,1.03,0.4135,0.425905
2007-10-16,2007,10,16,1.53,0.26775,0.4096575
2007-10-24,2007,10,24,0.218,0.0297,0.0064746000000000005
2007-10-28,2007,10,28,3.04,1.090625,3.3155
2007-11-01,2007,11,1,0.503,0.0592,0.0297776
2007-11-13,2007,11,13,0.62,0.652,0.40424
2007-11-14,2007,11,14,0.385,0.593,0.228305
2007-11-18,2007,11,18,0.968,0.797875,0.772343
2007-11-20,2007,11,20,0.578,0.0568,0.0328304
2007-11-24,2007,11,24,1.24,0.439875,0.5454450000000001
2007-11-27,2007,11,27,0.542,0.0435,0.023577
2007-11-28,2007,11,28,1.58,0.666714285714286,1.053408571428572
2007-11-29,2007,11,29,1.07,0.303,0.32421
2007-11-30,2007,11,30,3.7,0.674071428571429,2.494064285714287
2007-12-01,2007,12,1,1.65,0.3675,0.606375
2007-12-02,2007,12,2,7.25,0.251125,1.8206562499999999
2007-12-05,2007,12,5,1.41,0.211375,0.29803875
2007-12-06,2007,12,6,5.92,0.425222222222222,2.5173155555555544
2007-12-10,2007,12,10,1.12,0.0576,0.064512
2007-12-17,2007,12,17,0.414,0.0277,0.011467799999999998
2007-12-27,2007,12,27,1.71,0.702833333333333,1.2018449999999994
2007-12-28,2007,12,28,4.77,0.355,1.6933499999999997
2008-01-08,2008,1,8,1.02,0.967,0.98634
2008-01-09,2008,1,9,4.89,0.462555555555556,2.2618966666666687
2008-01-10,2008,1,10,5.93,0.5235,3.1043549999999995
2008-01-13,2008,1,13,1.18,0.192375,0.22700249999999997
2008-01-14,2008,1,14,1.76,0.399833333333333,0.703706666666666
2008-01-15,2008,1,15,3.15,0.3875,1.220625
2008-01-17,2008,1,17,3.07,0.533,1.63631
2008-01-19,2008,1,19,2.17,0.194,0.42098
2008-01-20,2008,1,20,3.79,0.261166666666667,0.9898216666666679
2008-02-05,2008,2,5,4.03,0.526071428571429,2.120067857142859
2008-02-06,2008,2,6,0.679,0.4245,0.28823550000000003
2008-02-26,2008,2,26,0.583,0.73175,0.42661024999999997
2008-02-29,2008,2,29,1.0,0.458625,0.458625
2008-07-10,2008,7,10,0.747,0.909166666666667,0.6791475000000002
2008-07-17,2008,7,17,1.09,0.371,0.40439
2008-07-25,2008,7,25,0.242,0.0985,0.023837
2008-08-01,2008,8,1,0.864,0.28,0.24192000000000002
2008-08-08,2008,8,8,0.279,0.0963,0.0268677
2008-08-09,2008,8,9,5.6,0.581,3.2535999999999996
2008-08-10,2008,8,10,2.23,0.382181818181818,0.8522654545454541
2008-08-12,2008,8,12,5.55,0.575625,3.1947187500000003
2008-08-15,2008,8,15,1.04,0.123,0.12792
2008-08-18,2008,8,18,2.98,0.225125,0.6708725
2008-08-19,2008,8,19,2.26,0.415,0.9378999999999998
2008-08-21,2008,8,21,4.38,0.566,2.4790799999999997
2008-08-28,2008,8,28,1.21,0.146,0.17665999999999998
2008-09-02,2008,9,2,1.82,0.658666666666667,1.198773333333334
2008-09-03,2008,9,3,4.27,0.69275,2.9580424999999995
2008-09-04,2008,9,4,5.24,0.450833333333333,2.3623666666666647
2008-09-05,2008,9,5,6.99,0.577714285714286,4.038222857142859
2008-09-06,2008,9,6,5.0,0.338,1.6900000000000002
2008-09-08,2008,9,8,1.18,0.124,0.14631999999999998
2008-09-09,2008,9,9,2.41,0.79,1.9039000000000001
2008-09-10,2008,9,10,1.35,0.341,0.46035000000000004
2008-09-13,2008,9,13,1.67,0.3425,0.571975
2008-09-17,2008,9,17,0.586,0.135,0.07911
2008-09-26,2008,9,26,0.225,0.0434,0.009765000000000001
2008-09-30,2008,9,30,2.88,0.90425,2.60424
2008-10-01,2008,10,1,3.68,0.566666666666667,2.0853333333333346
2008-10-02,2008,10,2,1.37,0.222,0.30414
2008-10-04,2008,10,4,7.8,0.914666666666667,7.134400000000002
2008-10-05,2008,10,5,1.88,0.251272727272727,0.4723927272727267
2008-10-06,2008,10,6,0.989,0.117,0.11571300000000001
2008-10-07,2008,10,7,5.04,0.324333333333333,1.634639999999998
2008-10-08,2008,10,8,1.55,0.7395,1.146225
2008-10-09,2008,10,9,0.96,0.0801,0.076896
2008-10-11,2008,10,11,1.35,0.18,0.243
2008-10-14,2008,10,14,4.91,0.5145,2.526195
2008-10-15,2008,10,15,1.47,0.27575,0.4053525
2008-10-17,2008,10,17,1.24,0.131,0.16244
2008-10-19,2008,10,19,2.05,0.252625,0.51788125
2008-10-20,2008,10,20,3.21,0.329285714285714,1.057007142857142
2008-10-21,2008,10,21,1.67,0.226,0.37742
2008-10-22,2008,10,22,1.31,0.1071,0.140301
2008-10-23,2008,10,23,2.25,0.24278,0.5462549999999999
2008-10-24,2008,10,24,1.18,0.311,0.36698
2008-10-25,2008,10,25,14.1,0.76075,10.726575
2008-10-26,2008,10,26,3.55,0.5394,1.9148699999999999
2008-10-27,2008,10,27,1.92,0.114,0.21888
2008-11-06,2008,11,6,0.373,0.0454,0.0169342
2008-11-09,2008,11,9,3.38,0.82,2.7716
2008-11-10,2008,11,10,1.3,0.343,0.4459000000000001
2008-11-13,2008,11,13,1.78,0.15775,0.280795
2008-11-14,2008,11,14,1.45,0.1436,0.20822
2008-11-17,2008,11,17,3.28,0.282183333333333,0.9255613333333322
2008-11-18,2008,11,18,1.41,0.322666666666667,0.4549600000000004
2008-11-20,2008,11,20,1.51,0.15702,0.23710019999999998
2008-11-23,2008,11,23,1.98,0.316,0.62568
2008-11-24,2008,11,24,0.905,0.316266666666667,0.2862213333333336
2008-12-04,2008,12,4,4.1,0.63125,2.588125
2008-12-05,2008,12,5,2.3,0.148,0.3404
2008-12-08,2008,12,8,1.83,0.199533333333333,0.3651459999999994
2008-12-09,2008,12,9,0.933,0.1195,0.1114935
2008-12-11,2008,12,11,0.577,0.0384,0.022156799999999997
2008-12-13,2008,12,13,2.8,0.383625,1.07415
2008-12-15,2008,12,15,0.78,0.0542,0.042276
2008-12-16,2008,12,16,2.19,0.863,1.88997
2008-12-17,2008,12,17,1.57,0.25525,0.4007425
2009-01-07,2009,1,7,0.347,0.027,0.009368999999999999
2009-01-12,2009,1,12,1.76,0.62925,1.10748
2009-01-13,2009,1,13,1.36,0.205,0.2788
2009-01-17,2009,1,17,1.06,0.259,0.27454
2009-01-18,2009,1,18,0.852,0.4015,0.342078
2009-01-19,2009,1,19,1.76,0.2424,0.426624
2009-01-20,2009,1,20,1.92,0.216333333333333,0.41535999999999934
2009-01-21,2009,1,21,2.37,0.226,0.53562
2009-01-22,2009,1,22,2.93,0.512,1.5001600000000002
2009-01-28,2009,1,28,1.24,0.315571428571429,0.39130857142857195
2009-01-30,2009,1,30,1.05,0.0573,0.060164999999999996
2009-02-03,2009,2,3,0.44,0.0324,0.014256
2009-02-10,2009,2,10,0.32,0.0544,0.017408
2009-02-16,2009,2,16,0.37,0.0395,0.014615
2009-02-25,2009,2,25,0.258,0.0289,0.0074562
2009-02-27,2009,2,27,1.47,0.378,0.55566
2009-03-05,2009,3,5,0.444,0.0631,0.0280164
2009-03-09,2009,3,9,0.478,0.0566,0.027054799999999997
2009-03-16,2009,3,16,0.35,0.0372,0.013019999999999999
2009-03-24,2009,3,24,0.283,0.0344,0.0097352
2009-03-26,2009,3,26,1.22,0.673714285714286,0.821931428571429
2009-03-30,2009,3,30,0.325,0.0397,0.0129025
2009-04-08,2009,4,8,0.422,0.0462,0.019496399999999997
2009-04-17,2009,4,17,0.17,0.02,0.0034000000000000002
2009-04-24,2009,4,24,0.13,0.02,0.0026000000000000003
2009-04-30,2009,4,30,0.262,0.0489,0.0128118
2009-05-05,2009,5,5,1.83,0.645714285714286,1.1816571428571434
2009-05-06,2009,5,6,1.67,0.377833333333333,0.6309816666666661
2009-05-08,2009,5,8,0.43,0.0819,0.035217
2009-05-12,2009,5,12,0.205,0.0413,0.0084665
2009-05-16,2009,5,16,0.833,0.53175,0.4429477499999999
2009-05-18,2009,5,18,1.26,0.34,0.42840000000000006
2009-05-19,2009,5,19,0.535,0.102,0.05457
2009-05-26,2009,5,26,0.243,0.0411,0.0099873
2009-05-28,2009,5,28,0.822,0.3006,0.24709319999999996
2009-06-03,2009,6,3,0.167,0.0588,0.0098196
2009-06-10,2009,6,10,0.151,0.0494,0.0074594
2009-06-15,2009,6,15,0.293,0.0505,0.0147965
2009-06-24,2009,6,24,0.111,0.0565,0.0062715
2009-06-30,2009,6,30,0.112,0.0672,0.0075264
2009-07-06,2009,7,6,0.917,2.12,1.9440400000000002
2009-07-07,2009,7,7,2.14,0.993444444444444,2.1259711111111104
2009-07-08,2009,7,8,0.568,0.4635,0.263268
2009-07-10,2009,7,10,0.212,0.0816,0.0172992
2009-07-12,2009,7,12,0.922,0.593666666666667,0.547360666666667
2009-07-15,2009,7,15,0.757,0.186,0.140802
2009-07-17,2009,7,17,3.33,0.693666666666667,2.3099100000000012
2009-07-18,2009,7,18,1.23,0.379,0.46617
2009-07-20,2009,7,20,0.382,0.0846,0.0323172
2009-07-21,2009,7,21,1.57,0.2958,0.46440600000000004
2009-07-22,2009,7,22,0.783,0.282,0.22080599999999997
2009-07-27,2009,7,27,0.636,0.0995,0.063282
2009-07-30,2009,7,30,1.57,0.42125,0.6613625000000001
2009-08-03,2009,8,3,0.401,0.0793,0.0317993
2009-08-12,2009,8,12,0.412,0.0707,0.0291284
2009-08-19,2009,8,19,0.224,0.0793,0.0177632
2009-08-24,2009,8,24,0.243,0.0407,0.0098901
2009-08-26,2009,8,26,1.38,0.480333333333333,0.6628599999999994
2009-08-27,2009,8,27,0.924,0.467,0.43150800000000006
2009-08-28,2009,8,28,2.94,0.725125,2.1318675
2009-08-30,2009,8,30,2.16,0.152,0.32832
2009-08-31,2009,8,31,5.17,0.484666666666667,2.5057266666666687
2009-09-01,2009,9,1,1.83,0.59,1.0796999999999999
2009-09-02,2009,9,2,5.79,0.563,3.2597699999999996
2009-09-03,2009,9,3,5.93,0.469833333333333,2.7861116666666645
2009-09-04,2009,9,4,1.36,0.146,0.19856000000000001
2009-09-10,2009,9,10,0.472,0.0816,0.0385152
2009-09-16,2009,9,16,0.229,0.0393,0.008999700000000001
2009-09-24,2009,9,24,0.157,0.0314,0.0049298
2009-10-01,2009,10,1,0.182,0.0437,0.007953400000000001
2009-10-06,2009,10,6,3.21,0.814333333333333,2.614009999999999
2009-10-07,2009,10,7,0.699,0.352333333333333,0.24628099999999975
2009-10-12,2009,10,12,0.255,0.0495,0.0126225
2009-10-19,2009,10,19,0.612,0.0993,0.060771599999999995
2009-10-24,2009,10,24,1.64,0.627,1.0282799999999999
2009-10-25,2009,10,25,0.984,0.338333333333333,0.33291999999999966
2009-10-26,2009,10,26,0.886,0.174,0.154164
2009-11-01,2009,11,1,3.95,0.9965,3.9361750000000004
2009-11-02,2009,11,2,1.35,0.284666666666667,0.3843000000000005
2009-11-03,2009,11,3,4.44,0.445875,1.9796850000000004
2009-11-04,2009,11,4,5.53,0.405916666666667,2.2447191666666684
2009-11-05,2009,11,5,3.0,0.222,0.666
2009-11-09,2009,11,9,1.25,0.0922,0.11525
2009-11-13,2009,11,13,3.22,1.67,5.3774
2009-11-14,2009,11,14,1.45,0.257,0.37265
2009-11-17,2009,11,17,2.94,0.0676,0.19874399999999998
2009-11-18,2009,11,18,5.57,0.885833333333333,4.934091666666665
2009-11-22,2009,11,22,1.95,0.3275,0.638625
2009-11-23,2009,11,23,1.44,0.300142857142857,0.432205714285714
2009-11-30,2009,11,30,1.22,0.102,0.12444
2009-12-03,2009,12,3,1.75,0.297,0.5197499999999999
2009-12-05,2009,12,5,1.9,0.21525,0.408975
2009-12-09,2009,12,9,0.928,0.0868,0.08055040000000001
2009-12-16,2009,12,16,0.419,0.0541,0.0226679
2010-01-04,2010,1,4,0.339,0.0397,0.013458300000000001
2010-01-12,2010,1,12,0.32,0.0645,0.020640000000000002
2010-01-15,2010,1,15,1.38,0.74,1.0211999999999999
2010-01-16,2010,1,16,1.29,0.334166666666667,0.43107500000000043
2010-01-17,2010,1,17,0.482,0.164,0.07904800000000001
2010-01-21,2010,1,21,1.91,0.0329,0.06283899999999999
2010-01-22,2010,1,22,1.3,0.550571428571429,0.7157428571428578
2010-02-01,2010,2,1,0.727,0.0361,0.0262447
2010-02-02,2010,2,2,1.8,0.297,0.5346
2010-02-03,2010,2,3,0.689,0.0706,0.048643399999999996
